epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.833,1.25798,1.40485,1.16547,0.89465,0.86082,0.90711,0.67586,1.03586,0.71996,1.02407,0.00332678,0.00332678,0.00332678
2,460.426,1.1589,0.9284,1.07692,0.89993,0.85033,0.91656,0.65302,1.08316,0.78805,1.06249,0.00659418,0.00659418,0.00659418
3,686.28,1.2559,1.04322,1.12799,0.81956,0.75929,0.82044,0.55396,1.21077,1.07369,1.1732,0.00979558,0.00979558,0.00979558
4,911.301,1.32381,1.09894,1.17631,0.9076,0.81727,0.904,0.63279,1.15664,0.89402,1.14501,0.009703,0.009703,0.009703
5,1136.79,1.27336,0.99859,1.15525,0.84354,0.72088,0.81912,0.55825,1.21827,1.15482,1.20019,0.009604,0.009604,0.009604
6,1362.57,1.1984,0.9065,1.12739,0.91281,0.8553,0.93201,0.69193,1.04751,0.73672,1.09349,0.009505,0.009505,0.009505
7,1588.2,1.14404,0.8487,1.09997,0.92879,0.90762,0.95211,0.71843,0.99985,0.66481,1.06504,0.009406,0.009406,0.009406
8,1811.36,1.12237,0.80294,1.09268,0.92217,0.89628,0.95154,0.71932,0.98082,0.63559,1.05521,0.009307,0.009307,0.009307
9,2035.33,1.09082,0.77946,1.07798,0.93146,0.90393,0.95343,0.73245,0.94569,0.59173,1.04623,0.009208,0.009208,0.009208
10,2260.28,1.0616,0.727,1.06304,0.94252,0.91782,0.96253,0.75144,0.91309,0.55453,1.02421,0.009109,0.009109,0.009109
11,2485.03,1.03203,0.71581,1.04855,0.93897,0.92511,0.96585,0.75223,0.92155,0.57337,1.02247,0.00901,0.00901,0.00901
12,2710.43,1.01836,0.70156,1.0437,0.95351,0.93097,0.97286,0.7741,0.87619,0.51348,1.00446,0.008911,0.008911,0.008911
13,2937.88,0.99997,0.67272,1.03311,0.94903,0.92956,0.96398,0.76362,0.8725,0.52381,1.007,0.008812,0.008812,0.008812
14,3167.04,0.97877,0.65631,1.02533,0.9494,0.95613,0.98093,0.78336,0.85706,0.48937,0.9882,0.008713,0.008713,0.008713
15,3399.2,0.96593,0.63288,1.01789,0.94458,0.95411,0.97152,0.7883,0.82937,0.47243,0.96982,0.008614,0.008614,0.008614
16,3629.25,0.95918,0.63505,1.01293,0.95991,0.94182,0.97672,0.79236,0.82424,0.47886,0.96697,0.008515,0.008515,0.008515
17,3856.83,0.9372,0.60938,1.00306,0.95308,0.94251,0.98043,0.78899,0.83888,0.47624,0.97197,0.008416,0.008416,0.008416
18,4088.7,0.92914,0.60602,0.99422,0.95571,0.94251,0.97076,0.79191,0.82363,0.46628,0.97172,0.008317,0.008317,0.008317
19,4325.17,0.92316,0.59886,0.99799,0.94915,0.96672,0.9818,0.79741,0.80969,0.45849,0.96446,0.008218,0.008218,0.008218
20,4575.62,0.9065,0.58561,0.98546,0.96426,0.94856,0.98227,0.80551,0.79166,0.42154,0.95328,0.008119,0.008119,0.008119
21,4824.58,0.90048,0.57299,0.98607,0.95953,0.96842,0.9837,0.81328,0.78767,0.41329,0.94844,0.00802,0.00802,0.00802
22,5062.33,0.89764,0.57572,0.98116,0.95746,0.97055,0.98474,0.81155,0.77482,0.41796,0.94381,0.007921,0.007921,0.007921
23,5288.88,0.87716,0.56141,0.97513,0.96414,0.96823,0.98146,0.81379,0.77245,0.40715,0.9508,0.007822,0.007822,0.007822
24,5515.21,0.87668,0.55555,0.97389,0.96384,0.96789,0.98462,0.82038,0.76596,0.41325,0.94174,0.007723,0.007723,0.007723
25,5740.44,0.86418,0.54427,0.97006,0.96116,0.96369,0.98504,0.82371,0.75136,0.40544,0.92933,0.007624,0.007624,0.007624
26,5965.79,0.85777,0.53692,0.96771,0.96732,0.96275,0.98337,0.8262,0.73892,0.39181,0.92924,0.007525,0.007525,0.007525
27,6190.88,0.84756,0.52851,0.96162,0.9629,0.96218,0.98443,0.82259,0.74556,0.40462,0.92739,0.007426,0.007426,0.007426
28,6416.67,0.84083,0.52672,0.95765,0.96867,0.97504,0.98799,0.83152,0.73468,0.37925,0.92182,0.007327,0.007327,0.007327
29,6642.93,0.83092,0.51768,0.9543,0.96613,0.97088,0.9847,0.82642,0.73882,0.37875,0.92466,0.007228,0.007228,0.007228
30,6868.52,0.82519,0.51288,0.95614,0.96398,0.97504,0.98497,0.83328,0.7184,0.37693,0.91795,0.007129,0.007129,0.007129
31,7094.49,0.81871,0.50784,0.94613,0.97521,0.98033,0.98891,0.84384,0.69808,0.35628,0.90683,0.00703,0.00703,0.00703
32,7320.22,0.81254,0.49767,0.9483,0.9715,0.96974,0.98781,0.83658,0.71793,0.37442,0.91421,0.006931,0.006931,0.006931
33,7545.75,0.80704,0.49482,0.94455,0.97177,0.97504,0.98929,0.84192,0.70826,0.36467,0.90478,0.006832,0.006832,0.006832
34,7771.85,0.79405,0.48195,0.93865,0.97842,0.96672,0.98737,0.83945,0.70405,0.36058,0.90864,0.006733,0.006733,0.006733
35,7997.11,0.79185,0.48388,0.94003,0.96195,0.97806,0.99028,0.84171,0.7086,0.36625,0.90956,0.006634,0.006634,0.006634
36,8222.88,0.79209,0.4875,0.94047,0.96711,0.97878,0.98738,0.84649,0.69454,0.34924,0.90593,0.006535,0.006535,0.006535
37,8448.79,0.78453,0.47193,0.93267,0.96499,0.9798,0.99181,0.85077,0.68119,0.34726,0.89438,0.006436,0.006436,0.006436
38,8674.49,0.77302,0.46971,0.93129,0.97363,0.97752,0.98869,0.85229,0.67383,0.34325,0.89419,0.006337,0.006337,0.006337
39,8900.26,0.76773,0.46345,0.93159,0.97557,0.97655,0.9906,0.85271,0.67461,0.33774,0.89292,0.006238,0.006238,0.006238
40,9126.04,0.76964,0.4671,0.93146,0.97078,0.97995,0.98832,0.85087,0.67535,0.34132,0.89141,0.006139,0.006139,0.006139
41,9351.5,0.75967,0.46209,0.92743,0.96799,0.98359,0.98926,0.85229,0.66454,0.32688,0.8909,0.00604,0.00604,0.00604
42,9577.36,0.75046,0.45358,0.92321,0.97485,0.97958,0.99025,0.85804,0.65754,0.3261,0.88411,0.005941,0.005941,0.005941
43,9803.16,0.74477,0.4485,0.92346,0.9687,0.98338,0.98964,0.85847,0.66063,0.32241,0.88672,0.005842,0.005842,0.005842
44,10028.7,0.74621,0.44561,0.92145,0.97248,0.98109,0.98807,0.85683,0.65329,0.31787,0.88279,0.005743,0.005743,0.005743
45,10254.6,0.73484,0.44832,0.91782,0.97805,0.98033,0.98981,0.85939,0.64816,0.31565,0.88453,0.005644,0.005644,0.005644
46,10481.2,0.73972,0.44272,0.9224,0.97725,0.97461,0.99015,0.85804,0.65162,0.31903,0.88793,0.005545,0.005545,0.005545
47,10706.9,0.72233,0.43668,0.91532,0.97631,0.97882,0.99123,0.86043,0.64494,0.31098,0.88077,0.005446,0.005446,0.005446
48,10932.4,0.72569,0.43538,0.91835,0.97641,0.9826,0.99126,0.86342,0.63854,0.30823,0.87854,0.005347,0.005347,0.005347
49,11158.2,0.71482,0.43126,0.91325,0.97591,0.98045,0.99034,0.86389,0.63154,0.31058,0.87594,0.005248,0.005248,0.005248
50,11384.5,0.71142,0.42324,0.91309,0.98035,0.9814,0.99065,0.86529,0.63077,0.30555,0.87879,0.005149,0.005149,0.005149
51,11610.4,0.71472,0.42648,0.91353,0.98031,0.9792,0.98893,0.86959,0.61865,0.30187,0.87072,0.00505,0.00505,0.00505
52,11836.1,0.69992,0.41695,0.90921,0.9825,0.97693,0.98858,0.8678,0.61698,0.30279,0.87378,0.004951,0.004951,0.004951
