epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,907.569,1.86811,3.59839,0.36404,1.99866,1.43926,0.74718,0.68459,0.73898,0.45547,0.52658,0.48247,0.40453,0.25992,1.41882,3.55667,0.06271,0.98966,1.12522,0.00332672,0.00332672,0.00332672
2,1692.98,1.41378,2.71308,0.215,1.10691,1.11949,0.75978,0.66162,0.74243,0.46016,0.53912,0.45572,0.40333,0.30484,1.34589,3.35,0.02986,1.043,1.10391,0.00659412,0.00659412,0.00659412
3,2348.41,1.47663,2.71594,0.20928,1.23507,1.19054,0.64454,0.62831,0.64773,0.3742,0.49291,0.4908,0.38108,0.27363,1.47462,3.35849,0.0207,1.35509,1.2481,0.00979552,0.00979552,0.00979552
4,2912.89,1.51559,2.65299,0.20223,1.27842,1.23616,0.71578,0.65708,0.69958,0.41545,0.49736,0.49735,0.40433,0.33692,1.43602,3.20882,0.01482,1.18714,1.23187,0.009703,0.009703,0.009703
5,3682.98,1.42214,2.53224,0.18434,1.15826,1.19972,0.77938,0.70332,0.76458,0.47123,0.56836,0.54428,0.44713,0.36074,1.32589,3.10945,0.01096,1.03216,1.17064,0.009604,0.009604,0.009604
6,4219.89,1.39387,2.38097,0.18361,1.12461,1.17421,0.80181,0.75246,0.80857,0.50676,0.57684,0.56963,0.48068,0.40851,1.28207,2.95437,0.01533,0.93436,1.13253,0.009505,0.009505,0.009505
7,4782.61,1.34509,2.18744,0.18188,1.05197,1.14995,0.84503,0.71413,0.81275,0.51163,0.62046,0.56397,0.51925,0.4393,1.26378,2.78334,0.01553,0.92853,1.13237,0.009406,0.009406,0.009406
8,5345.12,1.31581,2.14173,0.17292,1.04026,1.13329,0.80891,0.75246,0.81379,0.52653,0.57212,0.59576,0.49851,0.41215,1.22546,2.93955,0.0131,0.9095,1.1024,0.009307,0.009307,0.009307
9,5888.27,1.28399,2.11108,0.1701,1.00078,1.11904,0.85456,0.75549,0.83945,0.54584,0.61662,0.57102,0.48617,0.41548,1.2083,2.92991,0.01025,0.84419,1.10122,0.009208,0.009208,0.009208
10,6426.31,1.25753,1.98289,0.16275,0.96505,1.10257,0.82736,0.78274,0.84487,0.55029,0.62086,0.62602,0.52681,0.46669,1.18752,2.64753,0.00827,0.84903,1.09436,0.009109,0.009109,0.009109
11,6958.24,1.24012,1.88892,0.16479,0.94436,1.09979,0.86627,0.77481,0.85257,0.55641,0.65504,0.61954,0.54034,0.49239,1.17493,2.5484,0.01668,0.80028,1.08071,0.00901,0.00901,0.00901
12,7498.6,1.22291,1.78488,0.15928,0.9167,1.08374,0.84315,0.7813,0.84087,0.5485,0.67792,0.64799,0.59545,0.52729,1.21267,2.39144,0.00848,0.82272,1.08201,0.008911,0.008911,0.008911
13,8020.41,1.2044,1.72247,0.14806,0.90448,1.08386,0.8539,0.7831,0.85926,0.58224,0.70371,0.64724,0.60155,0.5461,1.1323,2.19589,0.01166,0.76839,1.05134,0.008812,0.008812,0.008812
14,8523.55,1.19815,1.63511,0.1465,0.8863,1.06954,0.83572,0.82409,0.866,0.57471,0.63462,0.64497,0.55261,0.4957,1.13259,2.71776,0.01233,0.78761,1.05909,0.008713,0.008713,0.008713
